Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Reporter,Experimental Condition [Genotype],Characteristics [Age],Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [Demyelinated Corpus Callosum],Source Name [Mouse Number],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Comment [Image File Type Comments],Channels,Processed Data File
bf3092,Image5D_bf3092_SPOT19.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT19.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder. Missing image for the last timepoint because all previously imaged cells were dead. ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT20.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT20.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT21.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT21.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT23.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT23.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT51.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT51.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT81.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT81.tif,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT2.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT2.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT3.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT3.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT7.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT7.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT8.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT8.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT9.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT9.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder. Missing image for the last timepoint because all previously imaged cells were dead. ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT10.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT10.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT11.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT11.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT12.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT12.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3093,Image5D_bf3093_SPOT13.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3093,Image5D_bf3093_SPOT13.tif,Bottes_and_Jessberger_2021/bf3093,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
